record_id,question,anchor,answerchoice_a,answerchoice_b,answerchoice_c,answerchoice_d,answerchoice_e,correct_answer,answer_explanation,age,subject
11,"An 8-year-old boy is brought in by his teacher due to concerns about his academic performance. She reports that he frequently interrupts, talks excessively, and has difficulty waiting his turn. At home, his parents describe similar behaviors and note that he struggles to complete tasks and loses items easily.",What is the most likely diagnosis?,Oppositional defiant disorder,Specific learning disorder,Attention-deficit hyperactivity disorder,Autism spectrum disorder,Conduct disorder,c,"This child shows symptoms of inattention, hyperactivity, and impulsivity across multiple settings, meeting criteria for ADHD. Symptoms must be present before age 12 and interfere with functioning.",8,School-Based
12,A 6-year-old girl is struggling with reading and has fallen behind her peers despite good attendance and effort. Her teacher reports that she confuses similar-looking letters and has difficulty sounding out words.,Which of the following is the most likely diagnosis?,ADHD,Dyslexia,Vision impairment,Hearing loss,Autism spectrum disorder,b,"Dyslexia is a type of specific learning disorder that primarily affects reading. Children with dyslexia may struggle with letter recognition, phonemic awareness, and reading fluency.",6,School-Based
13,"A 9-year-old boy has frequent temper tantrums at school, argues with teachers, and deliberately annoys classmates. He is defiant at home but does not engage in physical aggression or criminal behavior.",Which of the following is the most likely diagnosis?,Conduct disorder,Oppositional defiant disorder,Intermittent explosive disorder,ADHD,Bipolar disorder,b,"Oppositional defiant disorder involves a pattern of angry/irritable mood, argumentative/defiant behavior, and vindictiveness without serious violations of social norms.",9,School-Based
14,"A 5-year-old child rarely makes eye contact, does not respond to their name, and prefers to play alone. The teacher notes that the child lines up toys and has difficulty with transitions between activities.",Which of the following is the most likely diagnosis?,Autism spectrum disorder,Social anxiety disorder,ADHD,Language disorder,Selective mutism,a,"Autism spectrum disorder is characterized by deficits in social communication and interaction, as well as restricted and repetitive behaviors.",5,School-Based
15,A 7-year-old boy is referred to the school counselor due to difficulty paying attention and completing assignments. He often forgets to bring his homework and appears distracted during lessons. His academic performance has declined over the past year.,Which of the following is the most likely diagnosis?,Intellectual disability,Specific learning disorder,"ADHD, inattentive type",Autism spectrum disorder,Adjustment disorder,c,"The inattentive presentation of ADHD includes symptoms such as forgetfulness, distractibility, and difficulty sustaining attention. These must be present in more than one setting and interfere with functioning.",7,School-Based
16,"A 10-year-old boy is referred by his teacher due to difficulties in organizing tasks, losing materials, and frequently forgetting homework. His parents say he’s bright but struggles with completing long assignments. He is cooperative and not disruptive in class.",What is the most likely diagnosis?,"ADHD, inattentive type",Oppositional defiant disorder,Conduct disorder,Autism spectrum disorder,Learning disorder,a,"This case describes ADHD, inattentive type. The child is not disruptive, but he has difficulty with attention, organization, and follow-through. These symptoms impair school functioning and are typical of this presentation of ADHD.",10,School-Based
17,A 12-year-old boy is brought in due to declining academic performance and increased irritability. He recently changed schools and has trouble making new friends. He appears withdrawn in class but is attentive during evaluation.,Which of the following is the most likely diagnosis?,Depression,Autism spectrum disorder,Social anxiety disorder,Adjustment disorder,ADHD,d,Adjustment disorder occurs after a significant stressor or life change and presents with emotional or behavioral symptoms within 3 months of the event. This child shows mood symptoms and academic impact after a school transition.,12,School-Based
18,"A 6-year-old boy is sent to the principal’s office frequently for talking out of turn, leaving his seat, and running in the hallways. He is often reprimanded but says he cannot help it. His parents say he behaves similarly at home.",What is the most likely diagnosis?,"ADHD, hyperactive-impulsive type",Oppositional defiant disorder,Conduct disorder,Anxiety disorder,Adjustment disorder,a,"This child shows hallmark symptoms of hyperactivity and impulsivity including excessive movement, blurting out, and inability to stay seated. These behaviors are impairing and consistent across settings, supporting a diagnosis of ADHD, hyperactive-impulsive type.",6,School-Based
19,"A 13-year-old girl has become socially withdrawn, stopped participating in class, and is sleeping excessively. Her grades have declined sharply over the past 2 months. She denies any bullying or school issues.",What is the most appropriate next step in management?,Refer for academic tutoring,Start stimulant medication,Evaluate for depression,Initiate family therapy,Prescribe melatonin for sleep,c,"Sudden academic decline, social withdrawal, and hypersomnia in a teenager are concerning for depression. Evaluation for mood disorders is warranted prior to initiating treatment or referring for academic support.",13,School-Based
20,"An 11-year-old boy has difficulty understanding spoken instructions and often answers unrelated questions. His teacher suspects he is not paying attention, but his hearing screen at school is normal.",Which of the following is the most likely diagnosis?,Language disorder,Selective mutism,Auditory processing disorder,ADHD,Autism spectrum disorder,c,"Auditory processing disorder involves difficulty interpreting auditory information despite normal hearing. Children may appear inattentive or confused by verbal instructions, especially in noisy environments.",11,School-Based
21,"A 10-year-old girl is brought in for evaluation of fatigue, weight loss, and increased urination. Her mother reports she has been drinking a lot of water and waking at night to urinate. She has lost 5 kg over the past two months. Urinalysis shows glucose and ketones. Blood glucose is 285 mg/dL.",Which of the following is the most likely diagnosis?,Diabetes insipidus,Type 2 diabetes mellitus,Type 1 diabetes mellitus,Hyperthyroidism,Hypothyroidism,c,"Polyuria, polydipsia, weight loss, and hyperglycemia in a child are classic signs of type 1 diabetes mellitus. The presence of ketones supports insulin deficiency and ketosis-prone diabetes.",10,Endocrine
22,"A 15-year-old girl is evaluated for secondary amenorrhea. She had regular menstrual periods for the past 2 years but hasn't menstruated in 4 months. She denies sexual activity. BMI is 16, and she is a competitive gymnast training daily. Labs show low LH and FSH.",Which of the following is the most likely cause?,Polycystic ovarian syndrome,Pregnancy,Hypothalamic amenorrhea,Turner syndrome,Hyperprolactinemia,c,Excessive exercise and low body weight can lead to hypothalamic suppression and result in secondary amenorrhea. This functional hypothalamic amenorrhea is marked by low LH/FSH and is reversible with lifestyle modification.,15,Endocrine
23,"A 13-year-old boy presents with short stature. His height is below the 5th percentile, but his weight is appropriate for height. He has no chronic medical conditions. His bone age is 11 years. His father had delayed puberty and grew into adulthood.",What is the most likely diagnosis?,Growth hormone deficiency,Hypothyroidism,Turner syndrome,Constitutional growth delay,Chronic systemic illness,d,"Constitutional growth delay is a common cause of short stature in adolescents with a family history of delayed growth. Bone age is delayed but consistent with height, and eventual normal adult height is expected.",13,Endocrine
24,"A 14-year-old boy presents with excessive thirst and urination. His serum sodium is elevated. A water deprivation test shows continued dilute urine, and desmopressin administration results in increased urine osmolality.",Which of the following is the most likely diagnosis?,Nephrogenic diabetes insipidus,Primary polydipsia,Central diabetes insipidus,Type 1 diabetes mellitus,Psychogenic polydipsia,c,"In central diabetes insipidus, there is a deficiency of ADH. Desmopressin increases urine osmolality, confirming central rather than nephrogenic DI.",14,Endocrine
25,"A 12-year-old girl presents with signs of early puberty, including breast development and pubic hair. Bone age is advanced, and labs show elevated LH/FSH. MRI of the brain is normal.",What is the most likely diagnosis?,Peripheral precocious puberty,Constitutional growth delay,Central precocious puberty,Adrenal tumor,McCune-Albright syndrome,c,Central precocious puberty results from early activation of the hypothalamic-pituitary-gonadal axis. It is diagnosed by elevated LH/FSH and confirmed by GnRH stimulation. MRI rules out intracranial lesions.,12,Endocrine
26,"A 4-year-old girl presents with rapid growth, breast development, and pubic hair. Bone age is advanced. Lab tests show low LH/FSH and elevated estradiol. Imaging reveals an ovarian cyst.",Which of the following is the most likely diagnosis?,Central precocious puberty,Peripheral precocious puberty,McCune-Albright syndrome,CAH,Hypothyroidism,b,Peripheral precocious puberty (also known as gonadotropin-independent puberty) occurs when sex hormones are elevated from non-central sources like ovarian cysts. Low LH/FSH in the presence of elevated estradiol suggests a peripheral cause.,4,Endocrine
27,"A 7-year-old boy is brought in for poor growth. He has gained weight but not grown in height. On exam, he has a puffy face and bradycardia. Labs show elevated TSH and low free T4.",Which of the following is the most likely diagnosis?,Constitutional growth delay,Cushing syndrome,Hypothyroidism,Growth hormone deficiency,Precocious puberty,c,"Hypothyroidism in children can cause poor linear growth, weight gain, bradycardia, and fatigue. The labs are consistent with primary hypothyroidism.",7,Endocrine
28,A 16-year-old girl presents with primary amenorrhea. She has normal breast development but scant pubic and axillary hair. Pelvic ultrasound shows absent uterus and presence of testes in the inguinal canals.,What is the most likely diagnosis?,Turner syndrome,Androgen insensitivity syndrome,Müllerian agenesis,Constitutional delay,Hypothalamic amenorrhea,b,"Androgen insensitivity syndrome presents in 46,XY individuals with normal breast development but absent uterus and scant pubic hair. Testes are often intra-abdominal or in the inguinal canals.",16,Endocrine
29,"A 5-year-old boy presents with signs of virilization including pubic hair, acne, and rapid growth. Labs show low LH, elevated DHEAS, and testosterone. CT reveals an adrenal mass.",Which of the following is the most likely diagnosis?,Central precocious puberty,Androgen insensitivity syndrome,Adrenal carcinoma,Leydig cell tumor,CAH,c,An adrenal carcinoma can secrete excess androgens leading to peripheral precocious puberty. Imaging evidence of an adrenal mass confirms the diagnosis.,5,Endocrine
30,"A 9-year-old boy presents with tall stature, long limbs, and delayed puberty. His testes are small and firm. Karyotype shows 47,XXY.",What is the most likely diagnosis?,Turner syndrome,Klinefelter syndrome,Marfan syndrome,Noonan syndrome,Hypogonadotropic hypogonadism,b,"Klinefelter syndrome (47,XXY) presents with tall stature, small firm testes, delayed puberty, and learning difficulties. It is the most common cause of primary hypogonadism in males.",9,Endocrine
